19956,Ultralife's (ULBI) CEO Mike Popielec on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:58:00,ULBI,Ultralife Corporation,SA Transcripts,https://seekingalpha.com/article/4342069-ultralifes-ulbi-ceo-mike-popielec-on-q1-2020-results-earnings-call-transcript
19955,Royal Bank of Scotland Group PLC (RBS) CEO Alison Rose on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:56:00,RBS,NatWest Group plc,SA Transcripts,https://seekingalpha.com/article/4342068-royal-bank-of-scotland-group-plc-rbs-ceo-alison-rose-on-q1-2020-results-earnings-call
19954,"Federated Hermes, Inc. (FHI) CEO Christopher Donahue on Q1 2020 Results - Earnings Call Transcript",2020-05-01 13:56:00,FHI,"Federated Hermes, Inc.",SA Transcripts,https://seekingalpha.com/article/4342067-federated-hermes-inc-fhi-ceo-christopher-donahue-on-q1-2020-results-earnings-call-transcript
19953,Aon Plc (AON) CEO Greg Case on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:54:00,AON,Aon Plc,SA Transcripts,https://seekingalpha.com/article/4342064-aon-plc-aon-ceo-greg-case-on-q1-2020-results-earnings-call-transcript
19952,Johnson Controls International's (JCI) CEO George Oliver on Q2 2020 Results - Earnings Call Transcript,2020-05-01 13:53:00,JCI,Johnson Controls International plc,SA Transcripts,https://seekingalpha.com/article/4342063-johnson-controls-internationals-jci-ceo-george-oliver-on-q2-2020-results-earnings-call
19951,"Kinsale Capital Group, Inc. (KNSL) CEO Michael Kehoe on Q1 2020 Results - Earnings Call Transcript",2020-05-01 13:53:00,KNSL,"Kinsale Capital Group, Inc.",SA Transcripts,https://seekingalpha.com/article/4342062-kinsale-capital-group-inc-knsl-ceo-michael-kehoe-on-q1-2020-results-earnings-call-transcript
19950,Federal National Mortgage Association (FNMA) CEO Hugh Frater on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:51:00,FNMA,Federal National Mortgage Association,SA Transcripts,https://seekingalpha.com/article/4342061-federal-national-mortgage-association-fnma-ceo-hugh-frater-on-q1-2020-results-earnings-call
19949,Whirlpool Corporation (WHR) CEO Marc Bitzer on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:45:00,WHR,Whirlpool Corporation,SA Transcripts,https://seekingalpha.com/article/4342055-whirlpool-corporation-whr-ceo-marc-bitzer-on-q1-2020-results-earnings-call-transcript
19948,Rocky Mountain Dealerships' (RCKXF) CEO Garrett Ganden on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:39:00,RCKXF,Rocky Mountain Dealerships Inc.,SA Transcripts,https://seekingalpha.com/article/4342054-rocky-mountain-dealerships-rckxf-ceo-garrett-ganden-on-q1-2020-results-earnings-call
19947,"Olympic Steel, Inc. (ZEUS) CEO Rick Marabito on Q1 2020 Results - Earnings Call Transcript",2020-05-01 13:37:00,ZEUS,"Olympic Steel, Inc.",SA Transcripts,https://seekingalpha.com/article/4342053-olympic-steel-inc-zeus-ceo-rick-marabito-on-q1-2020-results-earnings-call-transcript
19946,QCR Holdings' (QCRH) CEO Larry Helling on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:35:00,QCRH,"QCR Holdings, Inc.",SA Transcripts,https://seekingalpha.com/article/4342052-qcr-holdings-qcrh-ceo-larry-helling-on-q1-2020-results-earnings-call-transcript
19945,Tetragon Financial Group's (TGONF) Management on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:34:00,TGONF,Tetragon Financial Group Limited,SA Transcripts,https://seekingalpha.com/article/4342051-tetragon-financial-groups-tgonf-management-on-q1-2020-results-earnings-call-transcript
19944,Toromont Industries Ltd. (TMTNF) CEO Scott Medhurst on Q1 2020 Results - Earnings Call Transcript,2020-05-01 13:29:00,TMTNF,Toromont Industries Ltd.,SA Transcripts,https://seekingalpha.com/article/4342045-toromont-industries-ltd-tmtnf-ceo-scott-medhurst-on-q1-2020-results-earnings-call-transcript
